City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
188,Filadelfia,US,39.9523,-75.1638,52.0,71,40,4.61,scattered clouds
189,Comodoro Rivadavia,AR,-45.8667,-67.5,59.0,72,75,6.91,broken clouds
190,Ostrovnoy,RU,68.0531,39.5131,32.22,94,100,17.18,light snow
191,Lompoc,US,34.6391,-120.4579,55.4,71,0,3.44,clear sky
192,Avarua,CK,-21.2078,-159.775,77.0,88,75,5.75,light rain
193,Najran,SA,17.4924,44.1277,64.4,32,2,4.61,clear sky
194,Kuliyapitiya,LK,7.4688,80.0401,86.0,74,40,9.22,scattered clouds
195,Katsuura,JP,35.1333,140.3,72.0,63,20,8.05,few clouds
196,Inirida,CO,3.8653,-67.9239,73.2,97,100,0.78,very heavy rain
197,Phalaborwa,ZA,-23.943,31.1411,62.6,88,1,3.44,clear sky
198,Tupik,RU,54.4253,119.9327,36.1,91,93,9.01,light snow
