City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
273,Celestun,20.8667,-90.4,84.67,57,4,4.29,MX,2021-03-29 15:45:35
274,Olinda,-8.0089,-34.8553,82.4,69,40,9.22,BR,2021-03-29 15:45:36
275,Yerbogachen,61.2767,108.0108,18.37,97,100,2.59,RU,2021-03-29 15:45:36
276,Sioux Lookout,50.1001,-91.917,35.6,55,90,13.8,CA,2021-03-29 15:45:36
277,Duartina,-22.4144,-49.4039,91.4,43,0,1.14,BR,2021-03-29 15:45:36
278,Karla,59.3723,24.9275,42.8,87,90,18.41,EE,2021-03-29 15:45:37
279,Saint-Pierre,-21.3393,55.4781,80.6,74,75,4.61,RE,2021-03-29 15:45:38
280,Santa Cruz,-17.8,-63.1667,73.4,78,75,13.8,BO,2021-03-29 15:45:38
281,Zeya,53.75,127.2667,25.9,95,100,3.62,RU,2021-03-29 15:45:38
282,Vao,-22.6667,167.4833,78.4,75,53,10.92,NC,2021-03-29 15:44:29
283,Biltine,14.5333,20.9167,88.92,7,0,12.88,TD,2021-03-29 15:45:39
284,Erseke,40.3378,20.6789,49.32,76,97,3.56,AL,2021-03-29 15:45:39
285,Huntington,38.4193,-82.4452,50.0,46,1,5.75,US,2021-03-29 15:45:08
286,Kurilsk,45.2333,147.8833,36.77,98,98,9.6,RU,2021-03-29 15:45:39
287,Dukat,62.55,155.55,-11.83,98,38,3.67,RU,2021-03-29 15:45:40
288,Mehran,33.1222,46.1646,55.4,28,0,4.61,IR,2021-03-29 15:45:40
289,Acapulco,16.8634,-99.8901,84.2,51,90,3.4,MX,2021-03-29 15:43:57
290,Puksoozero,62.5903,40.6066,36.12,90,100,10.74,RU,2021-03-29 15:45:40
291,Batemans Bay,-35.7167,150.1833,57.0,70,21,1.99,AU,2021-03-29 15:45:40
